state,popestimate2019,fips
22,440059,22033
22,6861,22035
22,19135,22037
22,33395,22039
22,20015,22041
22,22389,22043
22,69830,22045
22,32511,22047
22,15744,22049
22,432493,22051
22,31368,22053
22,244390,22055
22,97614,22057
22,14892,22059
22,46742,22061
22,140789,22063
22,10951,22065
22,24874,22067
22,38158,22069
22,390144,22071
22,153279,22073
22,23197,22075
22,21730,22077
22,129648,22079
22,8442,22081
22,20122,22083
22,23884,22085
22,47244,22087
22,53100,22089
22,10132,22091
22,21096,22093
22,42837,22095
22,82124,22097
22,53431,22099
22,49348,22101
22,260419,22103
22,134758,22105
22,4334,22107
22,110461,22109
22,22108,22111
22,59511,22113
22,47429,22115
22,46194,22117
22,38340,22119
22,26465,22121
22,10830,22123
22,15568,22125
22,13904,22127
23,1344212,23000
23,108277,23001
23,67055,23003
23,295003,23005
23,30199,23007
23,54987,23009
23,122302,23011
23,39772,23013
23,34634,23015
23,57975,23017
23,152148,23019
23,16785,23021
23,35856,23023
23,50484,23025
23,39715,23027
23,31379,23029
23,207641,23031
24,6045680,24000
24,70416,24001
24,579234,24003
24,827370,24005
24,92525,24009
24,33406,24011
24,168447,24013
24,102855,24015
24,163257,24017
24,31929,24019
24,259547,24021
24,29014,24023
24,255441,24025
24,325690,24027
24,19422,24029
24,1050688,24031
24,909327,24033
24,50381,24035
24,113510,24037
24,25616,24039
24,37181,24041
24,151049,24043
24,103609,24045
24,52276,24047
24,593490,24510
25,6892503,25000
25,212990,25001
25,124944,25003
25,565217,25005
25,17332,25007
25,789034,25009
25,70180,25011
25,466372,25013
25,160830,25015
25,1611699,25017
25,11399,25019
25,706775,25021
25,521202,25023
25,803907,25025
25,830622,25027
26,9986857,26000
26,10405,26001
26,9108,26003
26,118081,26005
26,28405,26007
26,23324,26009
26,14883,26011
26,8209,26013
26,61550,26015
26,103126,26017
26,17766,26019
26,153401,26021
26,43517,26023
26,134159,26025
26,51787,26027
26,26143,26029
26,25276,26031
26,37349,26033
26,30950,26035
26,79595,26037
26,14029,26039
26,35784,26041
26,25239,26043
26,110268,26045
26,33415,26047
26,405813,26049
26,25449,26051
26,13975,26053
26,93088,26055
26,40711,26057
26,45605,26059
26,35684,26061
26,30981,26063
26,292406,26065
26,64697,26067
26,25127,26069
26,11066,26071
26,69872,26073
26,158510,26075
26,265066,26077
26,18038,26079
26,656955,26081
26,2116,26083
26,11853,26085
26,87607,26087
26,21761,26089
26,98451,26091
26,191995,26093
26,6229,26095
26,10799,26097
26,873972,26099
26,24558,26101
26,66699,26103
26,29144,26105
26,43453,26107
26,22780,26109
26,83156,26111
26,15118,26113
26,150500,26115
26,63888,26117
26,9328,26119
26,173566,26121
26,48980,26123
26,1257584,26125
26,26467,26127
26,20997,26129
26,5720,26131
26,23460,26133
26,8241,26135
26,24668,26137
26,291830,26139
26,12592,26141
26,24019,26143
26,190539,26145
26,159128,26147
26,60964,26149
26,41170,26151
26,8094,26153
26,68122,26155
26,52245,26157
26,75677,26159
26,367601,26161
26,1749343,26163
26,33631,26165
27,5639632,27000
27,15886,27001
27,356921,27003
27,34423,27005
27,47188,27007
27,40889,27009
27,4991,27011
27,67653,27013
27,25008,27015
27,35871,27017
27,105089,27019
27,29779,27021
27,11800,27023
27,56579,27025
27,64222,27027
27,8818,27029
27,5463,27031
27,11196,27033
27,65055,27035
27,429021,27037
27,20934,27039
27,38141,27041
27,13653,27043
27,21067,27045
27,30281,27047
27,46340,27049
27,5972,27051
27,1265843,27053
27,18600,27055
27,21491,27057
27,40596,27059
27,45130,27061
27,9846,27063
27,16337,27065
27,43199,27067
27,4298,27069
27,12229,27071
27,6623,27073
27,10641,27075
27,3740,27077
27,28887,27079
27,5639,27081
27,25474,27083
27,35893,27085
27,5527,27087
27,9336,27089
27,19683,27091
27,23222,27093
27,26277,27095
27,33386,27097
27,40062,27099
27,8194,27101
27,34274,27103
27,21629,27105
27,6375,27107
27,158293,27109
27,58746,27111
27,14119,27113
27,29579,27115
27,9126,27117
27,31364,27119
27,11249,27121
27,550321,27123
27,4055,27125
27,15170,27127
27,14548,27129
27,66972,27131
27,9315,27133
27,15165,27135
27,199070,27137
27,149013,27139
27,97238,27141
27,14865,27143
27,161075,27145
27,36649,27147
27,9805,27149
27,9266,27151
27,24664,27153
27,3259,27155
27,21627,27157
27,13682,27159
27,18612,27161
27,262440,27163
27,10897,27165
27,6207,27167
27,50484,27169
27,138377,27171
27,9709,27173
28,2976149,28000
28,30693,28001
28,36953,28003
28,12297,28005
28,18174,28007
28,8259,28009
